iter	Logloss
0	0.688414195611	0.683879313922	0.68003045353	0.6765927312444	0.67338285155	0.6701482651
6	0.6668747492
7	0.6638313449
8	0.6611596662999	0.65910013410	0.6560596946
11	0.6538102699
12	0.6517980023
13	0.6496780422
14	0.647697875
15	0.6458409898
16	0.6439402837
17	0.6423406746
18	0.6407051416
19	0.6392122568
20	0.6377855563
21	0.636465616322	0.6336208796
23	0.6322658792
24	024	0.633761225	025	0.632672926	026	0.631629827	027	0.6306449028	0.6285337106
29	0.6275663712
30	30	0.627955523131	0.6271649481
32	0.6263668997
33	0.6256542541
34	0.6249491529
35	0.6242221536	36	0.6235350177
37	0.6228762394
38	0.622250639	0.6205635494440	040	0.621057441	0.6193926648442	0.6188850595
43	043	0.619652444	0.6179563321
45	0.6174946023
46	0.6170426358
47	0.6165601221
48	0.6161550993
49	0.6157059714
50	0.6153260514
51	0.6148947431
52	0.6145197274
53	0.6142197856
54	0.6138335363
55	0.6134769738
56	0.6131410186
57	0.6128781533
58	0.6125425662
59	0.6122287198
60	0.6119375061	61	0.611606062	062	0.611324563	063	0.611018664	064	0.610823965	065	0.610556766	066	0.610312767	67	0.610047686868	0.6098259636969	0.6096066077070	0.6093817047171	0.6091608437272	0.6089657547373	0.608736174	074	0.608575075	075	0.608407276	0.606342806
77	0.6061335451
78	0.78	0.6078548223
79	0.60767980	0.80	0.60750481	0.81	0.60732282	0.82	0.60715983	0.83	0.60699984	0.84	0.60684585	0.6046965634
86	0.6045041347
87	0.6043594747
88	0.6041941662
89	0.6040097155
90	0.6038752334
91	0.6037366022
92	0.6036014283
93	0.6034509544
94	0.6032990462
95	0.6031597644
96	0.6030612818
97	097	0.604976098	098	0.604824199	099	0.6046954437
100	0.6045120041
101	0.6043900016
102	0.6042681438
103	0.6041278327
104	0.6040100468
105	0.603871106	0.6017456252
107	0.6016466882
108	0.6015249366
109	0.6014082925
110	0.6012468895
111	0.6011472964
112	0.6010220218
113	0113	0.6027675234
114	0.6026195104
115	0.6025248874
116	0.6023952069
117	0.6022720367
118	0.6021451809
119	0.6020268585
120	0.6019182841
121	0.6017899409
122	0.6017010131
123	0.6015955945
124	0.6014696034
125	0.6013771357
126	0.6012789615
127	0.6011882008
128	0.6010895216
129	0.6009857971
130	0.6008694507
131	0.6007435191
132	0.6006464389
133	0.6005270406
134	0.6003830419
135	0.6003145397
136	0.6001998695
137	0.6000762787
138	0.5999182761
139	0.599770757
140	0.5996717733
141	0.5995722823
142	0.5994647735
143	0.5993735748
144	0.5992479172
145	0.5991616243
146	0.5990378692
147	0.5989352922
148	0.5988218965
149	0.5986935486
150	0.5986150835
151	0.5985173495
152	0.5984022957
153	0.5982817014
154	0.5982073635
155	0.5981248711
156	0.5979818774
157	0.5978727369
158	0.5977792111
159	0.5976687318
160	0.5975825129
161	0.5974949922
162	0.5973582737
163	0.5972427134
164	0.5971427749
165	0.5970484941
166	0.5969773813
167	0.5968637607
168	0.5967489995
169	0.5966394167
170	0.5965328183
171	0.596435571
172	0.5962737698
173	0.5961823461
174	0.5960900176
175	0.5959765285
176	0.5958637418
177	0.5957850903
178	0.5956970759
179	0.595596639
180	0.5955218133
181	0.595418816
182	0.5953150897
183	0.5952091854
184	0.5951287595
185	0.5950485986
186	0.5949362967
187	0.594853275
188	0.5947849718
189	0.5947042174
190	0.5945788783
191	0.5945007226
192	0.5943888304
193	0.5943053838
194	0.5942271483
195	0.5941378866
196	0.5940778299
197	0.5940232673
198	0.5939182089
199	0.5938240503
200	0.5937218716
201	0.5936336206
202	0.5935432738
203	0.5934565578
204	0.5933728203
205	0.5932925004
206	0.5931951636
207	0.5931278028
208	0.5930408692
209	0.5929462979
210	0.5928629685
211	0.5927740449
212	0.592676474
213	0.592616803
214	0.5925153972
215	0.5924407177
216	0.5923726527
217	0.5922431896
218	0.5921325503
219	0.5920247215
220	0.5919665021
221	0.5918791774
222	0.5917977396
223	0.5917058381
224	0.591632511
225	0.5915395552
226	0.5914913526
227	0.5914144732
228	0.591339506
229	0.5912823466
230	0.5911696185
231	0.5910635809
232	0.5909703902
233	0.5909013823
234	0.5907937548
235	0.5906939997
236	0.5906604436
237	0.5905427985
238	0.5904578741
239	0.5903558146
240	0.5902880182
241	0.5901606784
242	0.5900606259
243	0.5899337452
244	0.5898488675
245	0.5897684892
246	0.5897034159
247	0.5896294792
248	0.5895515893
249	0.5894755061
250	0.5893671527
251	0.589276384
252	0.5891905978
253	0.5890998779
254	0.5890138236
255	0.5889093284
256	0.5888351036
257	0.588693316
258	0.5886174542
259	0.588512377
260	0.5884414164
261	0.5883092602
262	0.5882169296
263	0.5881259013
264	0.5880431374
265	0.5879796748
266	0.587883561
267	0.5877742763
268	0.5876638698
269	0.5875873576
270	0.5875136774
271	0.5874218636
272	0.5873215705
273	0.5872050573
274	0.5871201716
275	0.5870288867
276	0.5869803909
277	0.5869005241
278	0.5867986736
279	0.5867017233
280	0.5865886407
281	0.5864700472
282	0.5863875232
283	0.5863036087
284	0.5862393799
285	0.586125724
286	0.5860393227
287	0.5859817912
288	0.5858924513
289	0.5858158484
290	0.5857198575
291	0.5856253057
292	0.5855416243
293	0.5854337174
294	0.5853462865
295	0.5852475388
296	0.5851700629
297	0.5850766748
298	0.5849852438
299	0.5848752721
300	0.5847987405
301	0.5847182253
302	0.5846017794
303	0.5845302795
304	0.5844119349
305	0.5843421679
306	0.5842525418
307	0.5842029569
308	0.5841456162
309	0.5840914888
310	0.5839782796
311	0.5838793133
312	0.5838034407
313	0.5837032161
314	0.5835937996
315	0.5835013318
316	0.5834420768
317	0.5833269553
318	0.5832404497
319	0.5831615541
320	0.5831143381
321	0.5830561355
322	0.5829284426
323	0.5827751527
324	0.5826667695
325	0.5825664702
326	0.5824959278
327	0.5824143698
328	0.5823248014
329	0.5822265252
330	0.5821520573
331	0.582047144
332	0.5819551723
333	0.5818449444
334	0.5817384486
335	0.5816481015
336	0.5815142093
337	0.5814028019
338	0.5812830738
339	0.5811638662
340	0.5810330013
341	0.580948286
342	0.5808467718
343	0.5807356261
344	0.5806354726
345	0.5805752792
346	0.5805001298
347	0.5803810759
348	0.5802754768
349	0.5801912049
350	0.5801070995
351	0.5800022889
352	0.579904353
353	0.5798094613
354	0.579737979
355	0.5796343492
356	0.5795367926
357	0.5794396738
358	0.5793992982
359	0.5793090369
360	0.5792154758
361	0.579178719
362	0.5790828664
363	0.5789507832
364	0.5788706955
365	0.5787712255
366	0.5786358106
367	0.5785372816
368	0.5784294347
369	0.5783491323
370	0.5782512549
371	0.5780982799
372	0.5780284146
373	0.5779396201
374	0.577835535
375	0.5777084813
376	0.5775794981
377	0.5774974914
378	0.5774014599
379	0.5772950571
380	0.5771689758
381	0.577027414
382	0.5769539718
383	0.5768468419
384	0.5767419186
385	0.5766469636
386	0.5765417393
387	0.5764348357
388	0.5763185913
389	0.5762235457
390	0.5761623424
391	0.5760337833
392	0.5759019421
393	0.5757656407
394	0.5756878504
395	0.5755924978
396	0.5754877831
397	0.5753312158
398	0.5751785219
399	0.5750849063
400	0.5749984411
401	0.5748805038
402	0.5747870142
403	0.5747174778
404	0.5745813227
405	0.5744824589
406	0.5743633096
407	0.5742330788
408	0.5740924107
409	0.5739863464
410	0.5738477194
411	0.5737438154
412	0.5736393456
413	0.5735320348
414	0.5733759468
415	0.5732603855
416	0.5731658081
417	0.5730338854
418	0.5728930628
419	0.5727899942
420	0.5726723255
421	0.5725811169
422	0.5725064998
423	0.5723723922
424	0.5722410549
425	0.5721271248
426	0.5720072447
427	0.5719163517
428	0.5717810579
429	0.5716918242
430	0.5715786017
431	0.5714704245
432	0.5713508789
433	0.571267498
434	0.5711503558
435	0.5710162736
436	0.5709083143
437	0.5707744485
438	0.5706441159
439	0.5705718826
440	0.5705241437
441	0.5704236698
442	0.5703576021
443	0.5702297302
444	0.5701532527
445	0.5700446041
446	0.5699414419
447	0.5698329723
448	0.5697048334
449	0.5695875677
450	0.5694974663
451	0.5694416402
452	0.5693649801
453	0.5692738695
454	0.5691468414
455	0.5690257499
456	0.568938552
457	0.5688189392
458	0.5687410413
459	0.5686086211
460	0.5684796944
461	0.5683672894
462	0.5682887575
463	0.5681812574
464	0.5680313009
465	0.5679588387
466	0.5678534779
467	0.5676810211
468	0.5675743058
469	0.5674689917
470	0.5673730521
471	0.5672948317
472	0.5671726603
473	0.5670631243
474	0.5669357181
475	0.5668145019
476	0.5666723591
477	0.5665504887
478	0.566440481
479	0.5663424278
480	0.5662170706
481	0.5661322625
482	0.566031109
483	0.5658974977
484	0.5658098793
485	0.5656757536
486	0.5655588431
487	0.5654923366
488	0.5654233485
489	0.5652885001
490	0.5651991333
491	0.565077597
492	0.5649370095
493	0.5648342322
494	0.5646864199
495	0.5645480329
496	0.5644168578
497	0.5642913612
498	0.5641738587
499	0.5640462564
